date,CAD,BRL
2001-09-05,1.5602999925613403,2.563999891281128
2001-09-06,1.559000015258789,2.5850000381469727
2001-09-07,1.5679999589920044,2.5840001106262207
2001-09-10,1.565600037574768,2.5980000495910645
2001-09-12,1.5609999895095825,2.674999952316284
2001-09-13,1.5680999755859375,2.7290000915527344
2001-09-14,1.5641000270843506,2.7130000591278076
2001-09-17,1.568600058555603,2.6649999618530273
2001-09-18,1.5707999467849731,2.680999994277954
2001-09-19,1.5710999965667725,2.7079999446868896
2001-09-20,1.5707999467849731,2.7339999675750732
2001-09-21,1.5707000494003296,2.7880001068115234
2001-09-24,1.568600058555603,2.7709999084472656
2001-09-25,1.5705000162124634,2.7149999141693115
2001-09-26,1.5734000205993652,2.7219998836517334
2001-09-27,1.5791000127792358,2.7119998931884766
2001-09-28,1.579699993133545,2.6730000972747803
2001-10-01,1.5793999433517456,2.687000036239624
2001-10-02,1.569599986076355,2.700000047683716
2001-10-03,1.5687999725341797,2.7290000915527344
2001-10-04,1.5679999589920044,2.7290000915527344
2001-10-05,1.562600016593933,2.753999948501587
2001-10-09,1.5637999773025513,2.7760000228881836
2001-10-10,1.5678999423980713,2.7730000019073486
2001-10-11,1.5679999589920044,2.7850000858306885
2001-10-12,1.5658999681472778,2.7820000648498535
2001-10-15,1.5582000017166138,2.7750000953674316
2001-10-16,1.5621000528335571,2.759000062942505
2001-10-17,1.5686999559402466,2.7225000858306885
2001-10-18,1.576300024986267,2.747999906539917
2001-10-19,1.575600028038025,2.762200117111206
2001-10-22,1.5786999464035034,2.7190001010894775
2001-10-23,1.5722999572753906,2.7330000400543213
2001-10-24,1.5744999647140503,2.743000030517578
2001-10-25,1.5774999856948853,2.731800079345703
2001-10-26,1.5750000476837158,2.7321999073028564
2001-10-29,1.5750000476837158,2.7269999980926514
2001-10-30,1.5785000324249268,2.7290000915527344
2001-10-31,1.590499997138977,2.7009999752044678
2001-11-01,1.5913000106811523,2.684999942779541
2001-11-02,1.5924999713897705,2.674999952316284
2001-11-05,1.5958000421524048,2.5950000286102295
2001-11-06,1.5937999486923218,2.5940001010894775
2001-11-07,1.593500018119812,2.5999999046325684
2001-11-08,1.5980000495910645,2.555000066757202
2001-11-09,1.6023000478744507,2.5269999504089355
2001-11-13,1.5981999635696411,2.5139999389648438
2001-11-14,1.5923000574111938,2.5380001068115234
2001-11-15,1.5870000123977661,2.5460000038146973
2001-11-16,1.5870000123977661,2.5339999198913574
2001-11-19,1.5849000215530396,2.5190000534057617
2001-11-20,1.5932999849319458,2.546999931335449
2001-11-21,1.6017999649047852,2.5355000495910645
2001-11-23,1.598099946975708,2.512500047683716
2001-11-26,1.6004999876022339,2.493000030517578
2001-11-27,1.5947999954223633,2.4719998836517334
2001-11-28,1.5852999687194824,2.489000082015991
2001-11-29,1.582800030708313,2.5169999599456787
2001-11-30,1.5716999769210815,2.5139999389648438
2001-12-03,1.576200008392334,2.4630000591278076
2001-12-04,1.5729000568389893,2.427000045776367
2001-12-05,1.5715999603271484,2.423799991607666
2001-12-06,1.57669997215271,2.427000045776367
2001-12-07,1.5724999904632568,2.4000000953674316
2001-12-10,1.5786999464035034,2.3424999713897705
2001-12-11,1.5780999660491943,2.3424999713897705
2001-12-12,1.5654000043869019,2.374000072479248
2001-12-13,1.5674999952316284,2.3889999389648438
2001-12-14,1.5635000467300415,2.38700008392334
2001-12-17,1.5645999908447266,2.3610000610351562
2001-12-18,1.5729000568389893,2.3450000286102295
2001-12-19,1.5743000507354736,2.2890000343322754
2001-12-20,1.5781999826431274,2.316499948501587
2001-12-21,1.5850000381469727,2.3524999618530273
2001-12-24,1.594499945640564,2.3380000591278076
2001-12-26,1.5989999771118164,2.319999933242798
2001-12-27,1.5953999757766724,2.3350000381469727
2001-12-28,1.5956000089645386,2.3259999752044678
2001-12-31,1.5924999713897705,2.312000036239624
2002-01-02,1.5973999500274658,2.309999942779541
2002-01-03,1.597000002861023,2.2929999828338623
2002-01-04,1.5976999998092651,2.313999891281128
2002-01-07,1.598099946975708,2.3480000495910645
2002-01-08,1.5949000120162964,2.3610000610351562
2002-01-09,1.596500039100647,2.382999897003174
2002-01-10,1.601199984550476,2.3929998874664307
2002-01-11,1.597499966621399,2.4094998836517334
2002-01-14,1.5973999500274658,2.4059998989105225
2002-01-15,1.589900016784668,2.359999895095825
2002-01-16,1.594499945640564,2.371000051498413
2002-01-17,1.6109999418258667,2.3570001125335693
2002-01-18,1.6128000020980835,2.375999927520752
2002-01-22,1.6083999872207642,2.377000093460083
2002-01-23,1.6039999723434448,2.3919999599456787
2002-01-24,1.6019999980926514,2.4000000953674316
2002-01-25,1.608299970626831,2.4149999618530273
2002-01-28,1.6125999689102173,2.429500102996826
2002-01-29,1.5902999639511108,2.430000066757202
2002-01-30,1.590999960899353,2.444000005722046
2002-01-31,1.5915000438690186,2.4089999198913574
2002-02-01,1.5908000469207764,2.4140000343322754
2002-02-04,1.5918999910354614,2.424499988555908
2002-02-05,1.5985000133514404,2.424999952316284
2002-02-06,1.604200005531311,2.430000066757202
2002-02-07,1.603700041770935,2.4539999961853027
2002-02-08,1.597000002861023,2.46560001373291
2002-02-11,1.5894999504089355,2.4579999446868896
2002-02-12,1.5918999910354614,2.4570000171661377
2002-02-13,1.590999960899353,2.421999931335449
2002-02-14,1.5918999910354614,2.427500009536743
2002-02-15,1.5908000469207764,2.434000015258789
2002-02-19,1.5885000228881836,2.426500082015991
2002-02-20,1.590499997138977,2.427999973297119
2002-02-21,1.5914000272750854,2.421999931335449
